21D0	'Acqua', 'Carro dell'acqua' (Ripa)
41C4	pasto (familiare)
35	pastorali, scene Arcadiche
11I611	patriarchi del Vecchio Testamento (non in contesto biblico)
54E31	patto, unità; 'Concordia', 'Concordia insuperabile', 'Concordia militare', 'Concordia di Pace', 'Unione civile' (Ripa)
56DD1	paura, timore; 'Paura', 'Timidità o Timore', 'Timore' (Ripa)
49G2	paziente, malato
47I2132	pecora (femmina)
11Q62	pellegrinaggio, pellegrino/i in cammino
11Q621	pellegrino/i
31A223612	pene, fallo
11Q732321	penitenza, 'Poenitentia'; 'Contritione' (Ripa) ~ parte della confessione
11Q12	penitenza, pentimento; 'Penitenza', 'Pentimento', 'Pentimento de'peccati', 'Purgatione de peccati' (Ripa)
49L51	penna
48C5153	pennelli ~ strumenti del pittore
73D332	pentimento di Pietro
71H2	peregrinazioni di David
92D19216	peregrinazioni di Psiche
94I2	peregrinazioni di Ulisse: da Calipso ai Feaci
94I1	peregrinazioni di Ulisse; dai Ciconi a Scilla
96B1	perigrazioni di Enea verso l'Italia: da Troia a Cartagine (En. II-III
11P44	persecuzione di credenti
43C91	persona che balla da sola, solista
11Q21	persona in preghiera
31A419	persona mutilata
11I7	personaggi del Nuovo Testamento (non in contesto biblico, né in sezioni storico/leggendarie incluse nella sezione 73)
11I6	personaggi del Vecchio Testamento (non in contesto biblico né presenti nelle sezioni leggendarie/storiche incluse nella sezione 71)
81	personaggi e scene tratti da cicli letterari
98C	personaggi femminili dalla storia classica
11I63	personaggi femminili del Vecchio Testamento (non in contesto biblico)
82A	personaggi letterari
82AA	personaggi letterari femminili
82	personaggi letterari, e scene di cui sono protagonisti
11I72	personaggi maschili del Nuovo Testamento (non in contesto biblico
11I62	personaggi maschili del Vecchio Testamento (non in contesto biblico)
98B	personaggi maschili della storia classica
61B2	personaggi storici
61B	personaggi storici (ritratti ed episodi della vita)
61BB	personaggi storici (ritratti ed episodi della vita) - BB - personaggi femminili
61BB2	personaggi storici - BB - personaggi femminili
61B1	personaggi storici anonimi
61BB1	personaggi storici anonimi - BB - personaggi femminili
61B113	personaggi storici anonimi ritratti in un gruppo, in un ritratto di gruppo
41C22	personale di cucina
42F5	personale di servizio in casa, domestici
46B2	persone che si occupano di commercio e traffici
25H230	personificazione del mare; 'Mare' (Ripa)
47I10	personificazione dell'agricoltura, 'Agricultura'; 'Agricoltura', 'Studio dell'agricoltura' (Ripa)
11P11	personificazione della Chiesa, 'Ecclesia', di norma con calice e vessillo
23R140	personificazione della notte, 'Nox'; 'Notte', 'Carro della notte', 'Serenità della notte' (Ripa)
25H2130	personificazione di un fiume, 'Fiumi' (Ripa)
25L0	personificazione di una città, patrona di una città
11R5	personificazioni della 'Vanitas', la vanità della vita umana; Fragilità humana, Fugacità delle grandezze e della gloria mondana, Meditatione della morte, Opera vana, Piacere vano, Vana gloria, Vanità (Ripa)
31F2	personificazioni della Morte; 'Morte' (Ripa)
33C91	personificazioni di Amore
44A51	personificazioni di paesi, nazioni, stati, distretti, ecc.
96A5	personificazioni romane di concetti astratti
46B33	pesare, pesatura
46B331	pesatrici
43C12	pesca (sport)
43C121	pescare con la lenza
43C128	pescatore
41C68	pesce; natura morta con pesci
25F6	pesci
23O13	pesci (segno zodiacale di febbraio)
25F64	pesci abissali
31A4621	peste
25D43	petrolio; raffineria di petrolio
31A53	pettinatura
12A52113	pettorale ~ paramenti del sommo sacerdote
24C	pianeti (eccetto la terra)
48C1423	pianta ~ architettura
48C1433	pianta ~ disegno o modello architettonico ideale o immaginario
41A61	pianta, mappa del giardino
25G1	piante (in generale)
25G4	piante ed erbe
25GG	piante fantastiche, vegetazione fantastica
41A673	piante in vaso
25G5	piante inferiori
41A67	piante ornamentali
47I11	piante ~ agricoltura
25G	piante; vegetazione
25H16	pianura
41C342	piatto da portata
41C341	piatto, piattino
25I144	piazza
48C244	piedistallo di un'opera di scultura (eventualmente nella forma di erma)
51H4	pienezza
42E311	pietra tombale, lastra sepolcrale
71T2	pietà del vecchio Tobi (Tb. 1, 10-22)
44E42	piloni, linee elettriche
11Q71443	pisside
48C51	pittura (inclusa decorazione del libro, miniatura)
31A515	pittura del corpo o del volto
48C5	pittura, disegno e grafica
48C753	più di un musicista con uno strumento; orchestra; concerto
48CC753	più di un musicista con uno strumento; orchestra; concerto - CC - concerto campestre
49D3	planimetria, geometria
25A1	planisfero, carta del mondo
49D45	poliedro regolare
42Z1	poligamia
49D35	poligono (~ planimetria, geometria)
44C3	politica
34B232	pollame (gallo, gallina, pollo, ecc.)
41A7212	poltrona, seggio
46C112	ponte
25I1451	ponte in città su fiumi, canali, ecc.
32B321	popolazioni (indigene) dell'Africa subsahariana
32B331	popolazioni indigene dell'Asia centrale e orientale
32B2	popoli e nazionalità 'storici’
32B3	popoli e nazionalità (diversi da quelli preistorici o ’storici’)
32B311	popoli indigeni europei
32B	popoli; gruppi etnici; nazionalità
31B623591	porre un dito sulle labbra, 'Silentium'; 'Silentio' (Ripa)
41A32	porta
41A3211	porta aperta
25I1461	porta di città
41A323	porta monumentale, portico, 'aediculum'
46C127	portare una persona
46C1271	portare una persona sulle spalle
41C316	portauovo
48C1621	porticato ~ architettura
46C223	porto
59B	posizione sociale
55B	possesso
46E22	posta
46E	posta, telegrafo e telefono; mezzi di comunicazione
31A23	postura della figura umana
31AA23	postura della figura umana - AA - figura umana femminile
31A24	posture della testa
31AA24	posture della testa - AA - figura umana femminile
31A26	posture delle gambe
31AA26	posture delle gambe - AA - figura umana femminile
31A2555	posture e gesti del dito indice
31A255	posture e gesti della mano e delle dita
31A254	posture e gesti delle braccia e delle mani in relazione ad un'altra persona
31AA254	posture e gesti delle braccia e delle mani in relazione ad un'altra persona - AA - ambedue le braccia o ambedue le mani
31A253	posture e gesti delle braccia e delle mani in relazione alla testa
31A252	posture e gesti delle braccia e delle mani in relazione tra di loro
31A25	posture e gesti di braccia e mani
31AA25	posture e gesti di braccia e mani - AA - ambedue le braccia o ambedue le mani
31A251	posture e gesti di braccia e mani in generale
31AA251	posture e gesti di braccia e mani in generale - AA - ambedue le braccia o ambedue le mani
41A3911	pozzo
12A3	pratiche religiose, culto, liturgia ~ religione ebraica
12E2	pratiche rituali ~ religione greca
12F2	pratiche rituali ~ religione romana
25H17	prato, pascolo
73D241	preannuncio del tradimento di Cristo, e reazione degli apostoli
52A24	precauzione
71E11731	precedenti della storia delle dieci piaghe
45L31	preda, bottino
25F23	predatori, rapaci
43C113	prede di caccia, selvaggina, cacciagione
11Q2	preghiera (privata); 'Oratione', 'Preghiere', 'Preghiere a Dio' (Ripa)
11Q751	preghiera (pubblica)
73A234	preghiera di Anna
73D1	preludio alla Passione
45F	preparativi per la battaglia
73C86463	preparativi, p.es.: al figliol prodigo vengono date nuove vesti; viene macellato il vitello grasso; il figlio maggiore protesta
42E1	preparazione della salma, toletta mortuaria
73B4	presentazione di Gesù al tempio, di norma è presente Simeone (e Anna) (Lc. 2, 22-39)
48A7	presentazione di un'opera d'arte al pubblico; rappresentazione, interpretazione, declamazione
52A2	previdenza, riflessione; 'Previdenza', 'Providenza' (Ripa)
44G311	prigione, galera
44G3121	prigioniero con le mani legate
45I1	prigioniero di guerra
44G312	prigioniero; in catene
73D4111	prima caduta ~ Cristo trasporta la croce
23D42	primavera, 'Ver'; 'Primavera' (Ripa)
31D11	primi anni ~ età dell'uomo
92L11	primo periodo della vita di Bacco
94L1	primo periodo della vita di Ercole
92B11	primo periodo della vita di Giove
92B21	primo periodo della vita di Vulcano
44B15121	principe
44B15122	principessa
25F25	proboscidati
11Q758	processione ~ religione cristiana
73D32	processo a Cristo, Cristo davanti ai giudici
42A	procreazione, nascita e primo periodo della vita
25G2	prodotti delle piante in generale
49M	produzione di materiale a stampa, produzione libraria
71O	profeti prima e durante la cattività babilonese (Amos, Osea, Isaia, Michea, Sofonia, Abacuc, Geremia, Naum, Ezechiele)
11I	profeti, sibille, evangelisti, Dottori della Chiesa; persone ~ la Bibbia (non in contesto biblico)
91B	progenie di Urano e Gea (Titani, Ciclopi, Centimani)
92L19	progenie, seguito, ecc. di Bacco
92D19	progenie, seguito, ecc. di Cupido
92C39	progenie, seguito, ecc. di Diana
92H19	progenie, seguito, ecc. di Nettuno
92H39	progenie, seguito, ecc. di Tritone
92C49	progenie, seguito, ecc. di Venere
92C59	progenie, seguito, ecc. di Vesta
45C17	proiettili, esplosivi, ecc.
25A12	proiezioni moderne ~ carte del mondo
52A23	prontezza, vigilanza; 'Guardia', 'Vigilanza', 'Vigilanza per difendersi e oppugnare altri' (Ripa)
44C31	propaganda politica
55	proprietà
49D7	prospettiva matematica
41A31	prospetto di casa o edificio
45C222	protezione per il braccio, bracciale
11G1831	psychostasis, San Michele arcangelo pesa le anime sulla bilancia (e trafigge il diavolo)
43C391	pugilato (sport)
42F31	pulire (la casa)
92B34121	punizione di Marsia: viene scorticato da Apollo
71P34	punizione e liberazione di Daniele
57A63	purezza, l'essere incorrotto; 'Purità' (Ripa)
11T6	purgatorio, di norma le anime pregano o invocano l'intercessione
73D15	purificazione del tempio (prima e seconda): Cristo caccia i cambiamonete dal tempio con la frusta (Mt. 21, 12-13; Mc. 11, 15-17; Lc. 19, 45-46; Gv. 2, 14-19)
73B41	purificazione di Maria; l'offerta delle colombe
49D34	quadrilatero (~ planimetria, geometria)
49C12	quadrivio (personificazioni di Arithmetica, Geometria, Astronomia e Musica)
48C514	quadro, pittura
71C13131	quando Abramo alza la mano per uccidere Isacco, Dio, o la mano di Dio, trattiene la mano di Abramo
71E1223	quando la sua gente è in salvo sulla riva, Mosè stende le mani e provoca il ritorno dell'acqua; Faraone e il suo esercito muoiono annegati (Mar Rosso)
51H	quantità e grado
47I14	raccolto
48C14	raffigurazione architettonica in generale
48C141	raffigurazione di un edificio reale (che sia esistente o esistito)
46C214	raffigurazione di una nave
12B1	raffigurazioni di concetti e idee ~ religioni non cristiani
25D434	raffineria ~ petrolio
31D11222	ragazza (bambina tra fanciullezza e giovinezza)
31D11221	ragazzo (bambino tra fanciullezza e giovinezza)
52	ragionamento e formazione delle idee
45D3	ranghi (dell'esercito, della marina, dell'aviazione)
45D31	ranghi nell'esercito
44B11	ranghi ~ signore, sovrano
44BB11	ranghi ~ signore, sovrano - BB - governatrice, signora, sovrana
92BB121	rapimento di Ganimede; viene portato via in volo dallo stesso Giove sotto forma di aquila, o dall'aquila di Giove
92N1231	rapimento di Proserpina (da parte di Plutone con il suo carro); talvolta con Diana e Minerva che tentano di salvarla
33B	rapporti aggressivi, inimicizia, animosità
33A	rapporti non aggressivi
11P4	rappresentanti della Chiesa (cristiani in generale, laici, monaci, ecc.) in conflitto fra loro o con avversari
25L	rappresentazione allegorica o simbolica di città
11B5	rappresentazione della Trinità estesa ad altre figure
11B3	rappresentazione della Trinità i cui una, due o tutte e tre le figure sono rappresentata in sembianze umane
11B2	rappresentazione della Trinità in cui ciascuna Persona (Padre, Figlio e Spirito Santo) è rappresentata da un oggetto o da un animale
11B32	rappresentazione della Trinità nella quale Dio Padre e Cristo sono rappresentati come persone, lo Spirito Santo come colomba
11B323	rappresentazione della Trinità nella quale Dio Padre sostiene Cristo crocifisso o morto
11B3231	rappresentazione della Trinità nella quale Dio Padre sostiene il crocifisso, 'Gnadenstuhl', Trono di Grazia
11B21	rappresentazione della Trinità: mano (Padre), agnello (Figlio) e colomba (Spirito Santo)
73D62	rappresentazione della morte di Cristo sulla croce, in cui un momento specifico o alcune parole di Cristo vengono posti in particolare rilievo (fino alla morte di Cristo)
73D65	rappresentazione di Cristo sulla croce associata ad altri episodi della Passione
25L1	rappresentazione simbolica di una città
10	rappresentazioni (simboliche) ~ la creazione, cosmo, cosmogonia, universo e vita (in senso lato)
23A4	rappresentazioni allegoriche degli effetti del tempo
25B	rappresentazioni allegoriche dei continenti
11P1	rappresentazioni allegoriche e simboliche ~ la Chiesa e la Religione
11P12	rappresentazioni allegoriche ~ religione; 'Religione', 'Religione de SS. Mauritio e Lazaro', 'Religione vera christiana' (Ripa)
11U11	rappresentazioni complessive del Giudizio Universale, con l'arcangelo Michele che pesa le anime (o che divide i beati dai dannati)
11U1	rappresentazioni complessive del Giudizio Universale; Cristo (con la spada e il giglio), spesso circondato dai vegliardi e affiancato da Maria e Giovanni Battista, appare in cielo tra gli angeli (che suonano la tromba e a volte sorreggono gli strumenti della Passione); dopo la resurrezione dei morti i beati sono condotti in cielo dagli angeli, e i dannati sono trascinati all'inferno dai diavoli
73D61	rappresentazioni comprensive dei vari episodi relativi al Golgota durante la permanenza di Cristo sulla croce; a nessuno degli eventi è dato particolare rilievo
11S1	rappresentazioni del paradiso terrestre (e dei suoi abitanti)
11T1	rappresentazioni dell'inferno (con diavoli e dannati), generalmente caratterizzato dalle fiamme
11F741	rappresentazioni della Madonna in cui è presente San Giovanni Battista bambino (N.B. soltanto come codice secondario)
73B83	rappresentazioni derivate dal tema della Sacra Famiglia
48C30	rappresentazioni simboliche, allegorie ed emblemi ~ arti applicate
48C80	rappresentazioni simboliche, allegorie ed emblemi ~ arti del palcoscenico
48C801	rappresentazioni simboliche, allegorie ed emblemi ~ danza e balletto
48C802	rappresentazioni simboliche, allegorie ed emblemi ~ il teatro
48C901	rappresentazioni simboliche, allegorie ed emblemi ~ poesia; vedi 'Poesia' (Ripa)
49C0	rappresentazioni simboliche, allegorie ed emblemi ~ scienza, 'Scientia'; 'Scienza', 'Studio' (Ripa)
12EE13	rappresentazioni ~ dee, semidee, eroine, ecc. (religione greca)
12E13	rappresentazioni ~ dei, eroi, ecc. (religione greca)
12H13	rappresentazioni ~ dei, semidei, eroi, ecc. (induismo, buddismo, jainismo)
12B13	rappresentazioni ~ divinità, semidei, eroi, ecc. (religioni non cristiani)
44B113	re
44BB113	re - BB - governatrice, signora, sovrana
41A54	recinto, muro, palizzata
41C32	recipiente per bere
11Q7144	recipienti e utensili utilizzati in chiesa
11Q7512	recita del rosario
25H114	regione di bassa collina
92L412	relazioni amorose dei satiri
92B32	relazioni amorose di Apollo ~ personaggi femminili
92L12	relazioni amorose di Bacco ~ personaggi femminili
92D12	relazioni amorose di Cupido
92C32	relazioni amorose di Diana
94L2	relazioni amorose di Ercole
92I222	relazioni amorose di Galatea
92B12	relazioni amorose di Giove
92B121	relazioni amorose di Giove ~ personaggi femminili (I): prima serie
92B122	relazioni amorose di Giove ~ personaggi femminili (II): seconda serie
92BB12	relazioni amorose di Giove ~ personaggi maschili
92C12	relazioni amorose di Giunone
92B42	relazioni amorose di Marte
92H12	relazioni amorose di Nettuno
92H121	relazioni amorose di Nettuno: prima serie
94P2	relazioni amorose di Perseo
92N12	relazioni amorose di Plutone
92C42	relazioni amorose di Venere
33C	relazioni tra i sessi
33	relazioni, rapporti tra singoli individui
11	religione cristiana
12A	religione e cultura ebraica
12E	religione greca (incluse le culture minoica e micenea)
12F	religione romana (inclusa la religione etrusca)
12B	religioni e culti non cristiani (in generale)
12	religioni non cristiane (incluse istituzioni, consuetudini e antiche usanze
12N	religioni tradizionali cinesi
11M311	religiosità ~ le tre Virtù Teologali
11Q652	reliquie (e reliquiari)
59B3	reputazione, rinomanza; 'Splendore del nome' (Ripa)
41B15	residui della combustione
11U21	resurrezione dei morti ~ Giudizio Universale
51L51	resurrezione; 'Resurrettione' (Ripa)
25F4	rettili
71H8	ribellioni contro David (2 Sam. 13-20; 1 Re 1)
55B1	ricchezza, opulenza; 'Opulenza', 'Richezza' (Ripa)
71E315	ricognizione in Canaan
55A12	ricompensa, 'Praemium'; 'Premio', 'Remuneratione' (Ripa)
43A1	ricorrenze, celebrazioni periodiche, feste popolari
45B61	ricreazione ~ soldato fuori servizio
22C5	riflesso (luce in generale)
94A62	ringiovanimento di Esone
73F3572	rinvenimento e traslazione delle reliquie di Stefano
45C4	riparo ~ servizio militare
31B19	riposare
73B65	riposo durante la fuga in Egitto
42D6	ripudiare la moglie
57B2	rispetto, riverenza, stima
42E	riti e pratiche funerarie
45B73	ritorno dei soldati alla vita civile, ritorno a casa
71T7	ritorno di Tobia (Tb. 10 - 13)
61B11	ritratti di personaggi storici anonimi
61BB11	ritratti di personaggi storici anonimi - BB - personaggi femminili
61B111	ritratti di personaggi storici anonimi senza altre figure
61BB111	ritratti di personaggi storici anonimi senza altre figure - BB - personaggi femminili
48C831	ritratto di artista ~ palcoscenico
48C8311	ritratto di ballerino
48C723	ritratto di musicista
48C93	ritratto di scrittore
46C1312	ritratto ufficiale equestre
48B3	ritratto, autoritratto dell'artista
48C42	ritratto, autoritratto di artista (arti maggiori)
48C532	ritratto, autoritratto di artista grafico
48C513	ritratto, autoritratto di pittore
48C23	ritratto, autoritratto di scultore
11D4116	ritrovamento, invenzione della Vera Croce
45F3	riunione di forze militari; mobilitazione, concentrazione di truppe, ecc.
45B54	riunione di soldati e/o ufficiali
47I221	riunire il bestiame, mandriano, mandriana, pastore, pastorella, vaccaro, ecc.
41A41	rivestimento delle pareti
41A43	rivestimento di pavimento
41A42	rivestimento, tappezzeria (di una stanza)
44F	rivoluzione, rivolta
25H112	rocce
25F26	roditori
48A98341	rosetta ~ elementi decorativi
48C149	rovine di un edificio
25H212	ruscello
45L3	saccheggio ~ soldati
11P3121	sacerdote (cattolico romano)
11Q75	sacramentali
55C221	sacrificio
12E212	sacrificio (pratiche rituali) ~ religione greca
12A32	sacrificio di animali ~ religione ebraica
12E2122	sacrificio umano ~ religione greca
71I3	saggezza di Salomone
52A51	saggezza; 'Sapienza', 'Sapienza humana', 'Sapienza vera' (Ripa)
23O43	sagittario (segno zodiacale di novembre)
25FF412	salamandra (animale fantastico); la salamandra come spirito del fuoco
41A222	salone, 'salon'
33A1	salutare
41B53	salvare dal fuoco
31A22611	sangue
11HH	sante
11H	santi
42E33	sarcofago
92L41	satiri (in generale)
92L4	satiri, fauni, Sileni
41A34	scala
41B	scaldare, illuminare, ventilare
41A35	scalinata principale, di facciata
41D2332	scarpe, sandali
48C145	scenari architettonici in pitture, sculture, ecc.
83	scene da particolari opere letterarie
11U2	scene isolate ~ Giudizio Universale
73E41	scene precedenti l'Ascensione
11R51	scene simboleggianti la 'Vanitas'
48C811	scenografia
44B192	scettro, bastone (simbolo di sovranità)
44BB192	scettro, bastone (simbolo di sovranità) - BB - governatrice, signora, sovrana
31A21	scheletro (umano)
43C631	schiaffo del soldato, 'haute coquilles', 'la main chaude' (giochi per tante persone)
46A18	schiavitù; servi e schiavi
49E	scienza e tecnica
25F22	scimmie, scimmie antropomorfe
12O	scintoismo
25H1312	scogliera, rupe ~ costa
23O42	scorpione (segno zodiacale di ottobre)
48C91	scrittore, poeta, autore
49L	scrittura e lettere
49L7	scrittura manuale, testo scritto
48C2	scultura
49B2	scuola elementare; classe, corso
31A2361	sdraiata sulla schiena (supina) con la parte superiore del corpo sollevata
73D4112	seconda caduta ~ Cristo trasporta la croce
11Q73112	seconda parte della messa
41A721	sedia
31A2351	seduta a terra
31AA2353	seduta con braccia o gomiti sulle ginocchia - AA - figura umana femminile
31A2352	seduta su un elemento rialzato
31AA2352	seduta su un elemento rialzato - AA - figura umana femminile
31AA2628	seduti, con il lato di un piede posto sul ginocchio dell'altra gamba - AA - figura umana femminile
46E52	segnalazione acustica con uno strumento
46E5	segnalazioni acustiche
23O4	segni zodiacali dell'autunno
23O3	segni zodiacali dell'estate
23O1	segni zodiacali dell'inverno
23O2	segni zodiacali della primavera
46C13161	sella e briglia (selleria)
46C1316	sellare e imbrigliare
43C111	selvaggina, animali cacciati
31A44411	selvaggio
31AA44411	selvaggio - AA - femmina
48C1611	semicolonna, lesena ~ architettura
41A37	seminterrato, cantina
42E23	sepoltura
73D76	sepoltura di Cristo (talvolta eseguita dagli angeli)
73E75	sepoltura di Maria
25D435	serbatoi
48C1421	serie di disegni, modelli, ecc. relativi a un progetto architettonico
25F42	serpenti
41A328	serratura ~ porta
44E	servizi di pubblica utilità
41C34	servizio da pranzo
41C31	servizio da tavola
41C33	servizio da tè e da caffè
46E2	servizio postale
23I33	settembre; 'Settembre' (Ripa)
48C1424	sezione ~ disegno o modello architettonico
48C1434	sezione ~ disegno o modello architettonico ideale o immaginario
41A72111	sgabellino, posapiedi
41A7211	sgabello
11I2	sibille
45A20	simboli allegorie della pace, 'Pax'; 'Pace' (Ripa)
31F1	simboli della Morte
44A	simboli dello stato (in generale)
11R7	simboli di 'Vanitas'
11D131	simboli di Cristo ~ animali
11C1	simboli di Dio Padre
11F11	simboli di Maria Vergine
11F111	simboli di Maria Vergine dalle litanie
31F	simboli e personificazioni della Morte
11D1	simboli e prefigurazioni di Cristo
11F1	simboli e prefigurazioni di Maria Vergine
14C	simboli e segni astrologici
48C751	singola persona con strumento musicale, non intenta a suonare
48C752	singola persona mentre suona uno strumento
48C7522	singola persona mentre suona uno strumento a corda (pizzicato)
48C7525	singola persona mentre suona uno strumento a fiato
92D42	singole Muse
92L32	singole ninfe
11E54	singole rappresentazioni dei sette doni dello Spirito Santo
92L42	singoli satiri
73D82	singoli strumenti della Passione
51AA61	sintesi
31A4531	sirena, uccello favoloso con testa di donna
48C7353	siringa (mus.)
46A6	società, associazioni e consigli di amministrazione
4	società, civilizzazione, cultura
31AA461	sofferenza, dolore - AA - figura umana femminile
92D16	sofferenze, avversità di Cupido
94O6	sofferenze, avversità di Orfeo
41C13	soffiare per raffreddare il cibo prima di mangiare
41A44	soffitto (decorato)
73F357	soggetti narrativi ~ Stefano dopo la morte
96B14	soggiorno di Enea a Creta; la peste devasta i Troiani
73A65	soggiorno di Maria in casa di Elisabetta ~ Visitazione
41A221	soggiorno, salotto, stanza di soggiorno
45B6	soldato fuori servizio
45D313	soldato semplice
45B1	soldato/i prima dell'arruolamento
24A	sole come corpo celeste
24A6	sole rappresentato come volto, ruota, ecc.
43C361	sollevamento pesi
12A521	sommo sacerdote ~ religione ebraica
41A78	soprammobili, chincaglierie, ninnoli
54F12	sorte, fortuna, fato; 'Fato', 'Fortuna', 'Fortuna aurea', 'Fortuna buona', 'Fortuna pacifica overo clemente', 'Sorte' (Ripa)
11Q715	sostanze utilizzate in chiesa
31A511	specchio
11D123	specifiche forme di croce
11F72	specifiche iconografie di Gesù Bambino e Maria Vergine ~ rappresentazioni della Madonna
11F71	specifiche iconografie di Gesù Bambino ~ rappresentazioni della Madonna (N.B. da usarsi soltanto come codice secondario)
11F73	specifiche iconografie di Maria Vergine ~ rappresentazioni della Madonna (N.B. soltanto come codice secondario)
11G4	specifiche iconografie in cui sono rappresentati gli angeli, p.es. in atto di intervenire nelle vicende umani
11F7	specifiche iconografie ~ rappresentazioni della Madonna (N.B. da usarsi soltanto come codice secondario)
56D	speranza e timore
56DD	speranza e timore (concetti opposti)
56D1	speranza; 'Speranza', 'Speranza delle fatiche' (Ripa)
43A374	spettacolo con animali ammaestrati (scimmie, elefanti, orsi, leoni e tigri, cavalli, cani, delfini, foche, pulci)
48C855	spettacolo di burattini e marionette
73D625	spettatori ai piedi della croce, tra cui Maria, Maria Maddalena e Giovanni Evangelista; Maria può essere rappresentata nell'atto di svenire
25H133	spiaggia
47I1111	spighe di grano
48A98133	spirale e forme derivate dalla spirale, p.es. onda greca ~ decorazioni
43C23	sport, ecc. nell'aria
43C1	sport, giochi ~ animali
43C	sport, giochi, prove atletiche
43C2	sport, giochi, prove atletiche ~ velocità
42D21	sposi in abito nuziale
25I4	stabilimenti e mulini in un paesaggio
23D	stagioni dell'anno (personificazioni); 'Stagione', 'Le quattro stagioni dell'anno' (Ripa)
23E	stagioni dell'anno rappresentate da scene che illustrano le attività umane, di norma in un paesaggio
23F	stagioni rappresentate da un paesaggio
49M3	stampati
41A24	stanza da bagno
41A22	stanze comuni (interno della casa)
31B62359	stare in silenzio
45	stato di guerra; questioni militari
31B18	stato di incoscienza
44	stato; legge; vita politica
73D43	stazioni della Via crucis
24D	stelle
24F2	stelle nel firmamento
46A122	stemma, araldica
46AA122	stemma, araldica - AA - femminile
44A1	stemma, blasone (come simbolo dello stato, ecc., non di persona o famiglia)
44B194	stemma, blasone (simbolo di sovranità)
49D4	stereometria, geometria solida
41D23321	stivali
6	storia
98	storia classica
73B5	storia dei tre Saggi (re o Magi) (Mt. 2, 1-12)
71L	storia del Regno del Sud (Giuda)
71P43	storia del drago (Dn. 14, 23-41)
73F221	storia della conversione di Paolo (At. 9, 1-18)
71H3	storia della morte di Saul
73B1	storia della nascita di Cristo (Lc. 2, 1-20)
73A1	storia della nascita e giovinezza di Giovanni Battista (Lc. 1,5-25; 57-80)
73D33	storia della negazione di Pietro (Mt. 26, 58, 69-75; Mc. 14, 54, 66-72; Lc. 22, 55-62; Gv. 18, 15-18, 25-27)
73C2	storia della tentazione di Cristo nel deserto (Mt. 4, 1-11; Mc. 1, 12-13; Lc. 4, 1-13)
71C1	storia di Abramo
71C11	storia di Abramo (parte I)
71C12	storia di Abramo (parte II)
71C13	storia di Abramo (parte III)
71E331	storia di Balaam
71A8	storia di Caino e Abele
73C32	storia di Cristo che cammina sull'acqua, 'Navicella' (Mt. 14, 22-33; Mc. 6, 45-52; Lc. 6, 15-21)
73C31	storia di Cristo che placa la tempesta sul mar di Galilea (Mt 8, 23-27; Mc.4, 35-41; Lc. 8, 22-25)
92D1921	storia di Cupido e Psiche (Apuleio, Met., L'asino d'oro IV, 28 - VI, 25)
71H	storia di David
71H14	storia di David e Golia
71M	storia di Elia
71N	storia di Eliseo
71Q	storia di Ester
73B9	storia di Gesù dodicenne a Gerusalemme (Lc. 2, 41-52)
71C3	storia di Giacobbe
71C32	storia di Giacobbe (II parte)
71C31	storia di Giacobbe (parte I)
71F154	storia di Giaele e Sisara
73A23	storia di Gioacchino e Anna
71L14	storia di Giosafat, figlio di Asa, re di Giuda (1 Re 22, 41-51; 2 Cr. 17-20)
73C1	storia di Giovanni Battista (Mt. 3; Mc. 1, 4-11; Lc. 3, 1-22; Gv. 1, 19-34)
71D	storia di Giuseppe
71D1	storia di Giuseppe (parte I)
71C2	storia di Isacco
73C52	storia di Lazzaro (Gv. 11, 1-44)
71E1	storia di Mosè
71B3	storia di Noè
71I	storia di Salomone
71G	storia di Saul
71P41	storia di Susanna e i vecchi (nella quale il giovane Daniele interviene in aiuto di Susanna) (Dn. 13)
49K1	storia e archeologia
25I14	strada pubblica
25II14	strada pubblica - II - città ideale
25I24	strada pubblica di un paese
46C11	strada, sentiero
73B63	strage degli innocenti
73B6	strage degli innocenti e fuga in Egitto (Mt. 2, 13-23)
46A1	stratificazioni sociali, gruppi sociali
48C732	strumenti a corda (suonati a pizzico)
48C731	strumenti a corda (suonati con archetto)
48CC731	strumenti a corda (suonati con archetto) - CC - all'esterno
48C735	strumenti a fiato
48C734	strumenti a percussione
49D511	strumenti da disegno
44G321	strumenti di tortura, esecuzione o punizione
48C73	strumenti musicali; gruppo di strumenti musicali
48CC73	strumenti musicali; gruppo di strumenti musicali - CC - all'esterno
49L5	strumenti per la scrittura
47A	strutture industriali
25I17	strutture sotterranee della città
49B44	studente
49BB44	studente - BB - studentessa
41A251	studio, 'studiolo'; biblioteca
49C3	studioso, filosofo
54F1	successo; 'Evento buono' (Ripa)
11G18341	sul monte Gargano San Michele arcangelo appare a Gargano, vescovo di Siponte, che aveva tirato una freccia a un toro
73F2212	sulla via di Damasco Cristo appare a Saulo, che cade da cavallo e viene accecato dal bagliore
48C75	suonare; musicista con strumento
48CC75	suonare; musicista con strumento - CC - all'esterno
43B3	svaghi in un interno
43B	svago
43B2	svago all'aperto
43	svago, divertimento
31B181	svenire
11Q7143	tabernacolo ~ altare
48C7341	tamburo (strumenti musicali)
41A431	tappeto, tappetino
31A35	tatto (uno dei cinque sensi)
31A51511	tatuaggio
31A5151	tatuare
41C3	tavola apparecchiata: stoviglie da tavolo, decorazione, ecc.
